ID,Language_ID,Description,Filename,URL,mimetype,size
0376fbdfa8874cd78005b143260a2dec,,Taxa: <Dypsis lutescens>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-0714-523A-A128-0/FSL848_f_.JPG,image/jpeg,3455577
0389be7cbcd30b96237d7b133ab3ca02,,Taxa: <Leucaena leucocephala>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-64A1-4570-7256-0/FSL1068_k_.JPG,image/jpeg,3598293
038bc667f0b1a3ffce7d9dc66491370b,,Taxa: <Pisonia aculeata>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-0AA1-2BD4-FC8B-0/FSL519_g_.JPG,image/jpeg,4143686
039d148640ea48515e9f8288e71ff119,,Taxa: <Ipomoea suaveolens>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-B3EC-7BF3-201C-0/FSL1336_e_.JPG,image/jpeg,4281765
03aad1818a0c211756b2d629735d0284,,Taxa: <Crinum erubescens>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-5821-0D70-D7FC-0/FSL680_b_.JPG,image/jpeg,2550412
03b7d9033e016f91b4074bf828b81254,,Taxa: <Ficus pertusa>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-8B51-CE9B-7E03-0/FSL919_a_.JPG,image/jpeg,3571035
03fc91a124ba9272a3f1745ad5eb59e6,,Taxa: <Senna atomaria>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-0F7F-5375-EF8C-0/FSL266_d_.JPG,image/jpeg,4102018
0435da3058ca12dc37a04bfb86ee2607,,Taxa: <Tillandsia hammeri>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-82CC-4C48-9E7E-0/FSL594_a_.JPG,image/jpeg,3063271
0460e3be8ef7accc27c9d1c472dc1720,,Taxa: <Antigonon cinerascens>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-AEE4-F798-FCF8-0/FSL108_b_.JPG,image/jpeg,4892201
04876dd5c91855b3aeb92628ad33dd45,,Taxa: <Portulaca pilosa>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-42A1-6B4A-2072-0/FSL1177_d_.JPG,image/jpeg,3906057
0488db73f3c483a85fe9292357d93f14,,Taxa: <Ficus pertusa>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-BD0D-9E12-A489-0/FSL269_b_.JPG,image/jpeg,3800205
048d79555998ddf9dd5ba8efc564b2d5,,Taxa: <Jatropha alamanii>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-8720-C1A6-AD28-0/FSL1089_e_.JPG,image/jpeg,3465857
05018944a91b5676e66df8f49ffac4d4,,Taxa: <Canna indica>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-EBB9-2115-8B08-0/FSL1151_d_.JPG,image/jpeg,3882821
05199032754d18357fc3c0ecda65a4a7,,Taxa: <Calyptranthes>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-DC05-482E-9425-0/FSL1200_f_.JPG,image/jpeg,3556429
053b0796f5fd1f2a7e3209b0bc6c483a,,,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-2BC0-8B24-3EC8-0/guie_se_naroba_2.mp3,audio/mpeg,1680414
053ed36f822132a458e0f21ebdff6786,,Taxa: <Canavalia>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-363F-D37D-0375-0/FSL1232_g_.JPG,image/jpeg,4730259
053f81fc52a7caff945ee22f20d13f76,,Taxa: <Hibiscus schizopetalus>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-8B1E-2961-9074-0/FSL943_e_.JPG,image/jpeg,3848480
054027f33d810fd47f539fe3aa49bca6,,Taxa: <Plumeria rubra>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-0E2B-80C6-316C-0/FSL947_d_.JPG,image/jpeg,3105058
05403a80de3640ad1c248b371a5613f1,,Taxa: <Croton mazapensis>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-DACF-DD38-E4C6-0/FSL699_d_.JPG,image/jpeg,3715622
0549edd83f7b8de6bdb521aa5f89bf32,,Taxa: <Rosa chinensis>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-5BB6-F7FA-7DF0-0/FSL1181_a_.JPG,image/jpeg,3813418
0556bc8922c7af015a0dde4e75efdd9d,,Taxa: <Ficus pertusa>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-3BC2-9ACA-F96E-0/FSL776_e_.JPG,image/jpeg,3063872
0566671dd880055731a66486671bc4f0,,Taxa: <Mesadenus lucayanus>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-8F07-C553-6DC7-0/FSL575_b_.JPG,image/jpeg,2305635
05704d805dda483b4eae88e2d51fca5c,,Taxa: <Bonellia macrocarpa>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-5EEC-516E-733E-0/FSL410_a_.JPG,image/jpeg,3493899
0573fa9ae01bfb716b0cc853a67af6ea,,Taxa: <Urochloa fusca>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-FF39-0641-3A2F-0/FSL042_b_.JPG,image/jpeg,3942713
05918e1a39e05a5017cd429f57f9f123,,Taxa: <Ceiba aesculifolia>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-BC5F-D5A3-35D5-0/FSL716_a_.JPG,image/jpeg,3107233
05aaf582f5f77f2e120b5b861d306d04,,Taxa: <Beaucarnea sanctomariana>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-2A7F-8262-4E95-0/FSL1305_c_.JPG,image/jpeg,5891080
05babd0c29ae81ea776c45e3a860cbc6,,,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-DEA7-6896-540B-0/yaga_bacua_dani.mp3,audio/mpeg,1980298
05bb2c01e0ff9fd7a6fe88b1f1f9a459,,Taxa: <Sonchus oleraceus>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-752F-0ECA-0687-0/FSL407_b_.JPG,image/jpeg,2855722
05f85f1cce0dbcedf4a62c1c2c643e78,,Taxa: <Piper auritum>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-B752-1CC9-3B25-0/FSL1140_a_.JPG,image/jpeg,4074875
06194727360f69e7817c9570562c38b5,,,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-1AA8-A014-DB48-0/guenda_bidxu.mp3,audio/mpeg,2100463
061dc9c0e7ff1fa6cf8c8eb8eeeb4301,,Taxa: <Malpighia mexicana>,,https://cdstar.shh.mpg.de/bitstreams/EAEA0-C4CF-20F6-A429-0/FSL1103_b_.JPG,image/jpeg,3484198
