ID,Language_ID,Headword,Part_Of_Speech,HeadwordPDLMA,Sources
E0311,zai,cola de cabayu,s,ko*la de+ kaba*yu,RLC04;RLC10
E0911,zai,cola mani xubi,s,ko*lla mani!' zhu!bi,RGL03;RLC04;FSL12;VC12;VOT15
E0857,zai,cola mani xubi dani,s,ko*lla mani!' zhu!bi dani*,VG17
E1072,zai,congo dani,s,ko*ngo dani*,FSL14
E0314,zai,coongo',s,koongo,RLC10
E0315,zai,copachil,s,pa-chi!l,FSL12;FSL16
E1110,zai,copita,s,kopi*ta,FSL14;RLC14
E0317,zai,coquito,s,koki*to,RLC04;RLC10
E0318,zai,cortes,s,korrte!s,FSL14
E0319,zai,cresta gayu,s,kre*sta ga*yu,RLC04;RLC10
E1268,zai,cuaananaxhi gui'xhi',s,kwaana=naxi gi7xi,VC17
E0322,zai,cuaananaxhi,s,kwaana=naxi,JLC;ND;RLC10
E0323,zai,cue' bandaga,s,kwe7 ba-ndaga,RGL03;RLC10
E0324,zai,cue' yaga,s,kwe7 yaga,RGL03;RLC10;RLC14;SOO14;VOT14;VC17
E1106,zai,cuete,s,kwe*te,FSL14;RLL14
E0320,zai,cumbriu,s,"ku-mbri!wu, ko-mbri!w",JLC;RGL03;RLC10;FSL15;VOT15
E0335,zai,de guie',s,de gye7,RGL03;VC17
E0338,zai,de punta rrama,s,de+ pu*nta rra*ma,RGL03;RLC10
E0336,zai,de punta yaga,s,de+ pu*nta yaga,RGL03;RLC10
E0339,zai,deche bandaga,s,deche ba-ndaga,RGL03;RLC10;VC17
E1281,zai,diaga bindxaba',s,dyaga bin=dxaba!7,RGL03;RLC04;RLC10;VC17
E1232,zai,doo donda,s,doo donda,VC17
E0341,zai,doo luxu,s,doo luzhu*,EJG;RLC10
E0342,zai,doo ziña,s,doo zinya,JLC;RLC10
E1099,zai,dormilona,s,dormilo*na,FSL14;FSL15
E0343,zai,du,s,du,EJG;JLC;ND;VP;RGL03;RLC10;VC17
